example_id                                                                | status | run_time        |
./spec/requests/spree/user_update_spec.rb[1:1:1]                          | passed | 0.03416 seconds |
./spec/requests/spree/user_update_spec.rb[1:1:2]                          | passed | 0.02532 seconds |
./spec/requests/spree/user_update_spec.rb[1:1:3]                          | passed | 0.02929 seconds |
./spec/system/address_spec.rb[1:1:1:1]                                    | passed | 1.6 seconds     |
./spec/system/address_spec.rb[1:1:2:1]                                    | passed | 2.27 seconds    |
./spec/system/address_spec.rb[1:1:3:1]                                    | passed | 2.03 seconds    |
./spec/system/address_spec.rb[1:2:1]                                      | passed | 1.84 seconds    |
./spec/system/authentication/account_spec.rb[1:1:1]                       | passed | 0.09781 seconds |
./spec/system/authentication/account_spec.rb[1:1:2]                       | passed | 0.13907 seconds |
./spec/system/authentication/account_spec.rb[1:1:3]                       | passed | 0.13762 seconds |
./spec/system/authentication/change_email_spec.rb[1:1]                    | passed | 0.17188 seconds |
./spec/system/authentication/checkout_spec.rb[1:1]                        | passed | 2.03 seconds    |
./spec/system/authentication/checkout_spec.rb[1:2:1]                      | passed | 2.72 seconds    |
./spec/system/authentication/checkout_spec.rb[1:2:2]                      | passed | 2.91 seconds    |
./spec/system/authentication/checkout_spec.rb[1:2:3]                      | passed | 2.56 seconds    |
./spec/system/authentication/checkout_spec.rb[1:2:4]                      | passed | 3.05 seconds    |
./spec/system/authentication/confirmation_spec.rb[1:1]                    | passed | 0.78423 seconds |
./spec/system/authentication/password_reset_spec.rb[1:1:1]                | passed | 0.08129 seconds |
./spec/system/authentication/password_reset_spec.rb[1:2]                  | passed | 0.05683 seconds |
./spec/system/authentication/sign_in_spec.rb[1:1]                         | passed | 0.10266 seconds |
./spec/system/authentication/sign_in_spec.rb[1:2]                         | passed | 0.04043 seconds |
./spec/system/authentication/sign_in_spec.rb[1:3]                         | passed | 0.38501 seconds |
./spec/system/authentication/sign_out_spec.rb[1:1]                        | passed | 4.54 seconds    |
./spec/system/authentication/sign_up_spec.rb[1:1:1]                       | passed | 0.07024 seconds |
./spec/system/authentication/sign_up_spec.rb[1:2:1]                       | passed | 0.04879 seconds |
./spec/system/automatic_promotion_adjustments_spec.rb[1:1:1]              | passed | 1.74 seconds    |
./spec/system/caching/products_spec.rb[1:1]                               | passed | 0.15092 seconds |
./spec/system/caching/products_spec.rb[1:2]                               | passed | 0.15497 seconds |
./spec/system/caching/products_spec.rb[1:3]                               | passed | 0.23443 seconds |
./spec/system/caching/products_spec.rb[1:4]                               | passed | 0.17754 seconds |
./spec/system/caching/products_spec.rb[1:5]                               | passed | 0.18295 seconds |
./spec/system/caching/taxons_spec.rb[1:1]                                 | passed | 0.08127 seconds |
./spec/system/caching/taxons_spec.rb[1:2]                                 | passed | 0.08632 seconds |
./spec/system/cart_spec.rb[1:1]                                           | passed | 0.04379 seconds |
./spec/system/cart_spec.rb[1:2]                                           | passed | 1.12 seconds    |
./spec/system/cart_spec.rb[1:3]                                           | passed | 0.02608 seconds |
./spec/system/cart_spec.rb[1:4]                                           | failed | 1.3 seconds     |
./spec/system/cart_spec.rb[1:5]                                           | failed | 1.43 seconds    |
./spec/system/cart_spec.rb[1:6:1]                                         | passed | 0.23655 seconds |
./spec/system/checkout_confirm_insufficient_stock_spec.rb[1:1:1:1:1]      | passed | 1.37 seconds    |
./spec/system/checkout_confirm_insufficient_stock_spec.rb[1:1:2:1:1]      | passed | 1.42 seconds    |
./spec/system/checkout_confirm_insufficient_stock_spec.rb[1:1:2:1:2]      | passed | 2.43 seconds    |
./spec/system/checkout_spec.rb[1:1:1:1]                                   | passed | 1.4 seconds     |
./spec/system/checkout_spec.rb[1:1:1:2]                                   | passed | 1.53 seconds    |
./spec/system/checkout_spec.rb[1:1:2:1]                                   | passed | 1.38 seconds    |
./spec/system/checkout_spec.rb[1:1:3:1]                                   | passed | 2.22 seconds    |
./spec/system/checkout_spec.rb[1:1:4:1]                                   | passed | 1.58 seconds    |
./spec/system/checkout_spec.rb[1:2:1:1:1]                                 | passed | 1.57 seconds    |
./spec/system/checkout_spec.rb[1:2:1:2:1]                                 | passed | 1.47 seconds    |
./spec/system/checkout_spec.rb[1:2:2:1:1]                                 | passed | 1.6 seconds     |
./spec/system/checkout_spec.rb[1:2:2:2:1:1]                               | passed | 1.48 seconds    |
./spec/system/checkout_spec.rb[1:2:2:2:2:1]                               | passed | 1.56 seconds    |
./spec/system/checkout_spec.rb[1:3:1]                                     | passed | 1.33 seconds    |
./spec/system/checkout_spec.rb[1:4:1]                                     | passed | 1.78 seconds    |
./spec/system/checkout_spec.rb[1:5:1]                                     | passed | 1.21 seconds    |
./spec/system/checkout_spec.rb[1:5:2]                                     | passed | 1.27 seconds    |
./spec/system/checkout_spec.rb[1:6:1]                                     | passed | 1.1 seconds     |
./spec/system/checkout_spec.rb[1:6:2]                                     | passed | 1.02 seconds    |
./spec/system/checkout_spec.rb[1:7:1]                                     | passed | 1.56 seconds    |
./spec/system/checkout_spec.rb[1:7:2]                                     | passed | 1.71 seconds    |
./spec/system/checkout_spec.rb[1:8:1]                                     | passed | 3.8 seconds     |
./spec/system/checkout_spec.rb[1:9:1:1]                                   | passed | 2.62 seconds    |
./spec/system/checkout_spec.rb[1:9:1:2]                                   | passed | 3.33 seconds    |
./spec/system/checkout_spec.rb[1:9:2:1]                                   | passed | 2.98 seconds    |
./spec/system/checkout_spec.rb[1:9:2:2]                                   | passed | 3.16 seconds    |
./spec/system/checkout_spec.rb[1:10:1]                                    | passed | 2.26 seconds    |
./spec/system/checkout_spec.rb[1:10:2:1]                                  | passed | 2.25 seconds    |
./spec/system/checkout_spec.rb[1:10:3:1]                                  | passed | 2.37 seconds    |
./spec/system/checkout_spec.rb[1:11:1]                                    | passed | 1.99 seconds    |
./spec/system/checkout_spec.rb[1:12:1:1]                                  | passed | 1.4 seconds     |
./spec/system/checkout_spec.rb[1:12:2:1]                                  | passed | 1.69 seconds    |
./spec/system/checkout_spec.rb[1:13:1]                                    | passed | 1.71 seconds    |
./spec/system/checkout_spec.rb[1:13:2]                                    | passed | 1.76 seconds    |
./spec/system/checkout_spec.rb[1:14:1]                                    | passed | 2.19 seconds    |
./spec/system/checkout_spec.rb[1:14:2:1]                                  | passed | 2.07 seconds    |
./spec/system/checkout_spec.rb[1:15:1]                                    | passed | 2.51 seconds    |
./spec/system/checkout_spec.rb[1:15:2]                                    | passed | 2.48 seconds    |
./spec/system/checkout_unshippable_spec.rb[1:1]                           | passed | 0.54607 seconds |
./spec/system/coupon_code_spec.rb[1:1:1:1:1]                              | passed | 2.11 seconds    |
./spec/system/coupon_code_spec.rb[1:1:1:1:2]                              | passed | 2.37 seconds    |
./spec/system/coupon_code_spec.rb[1:1:1:1:3:1]                            | passed | 2.17 seconds    |
./spec/system/coupon_code_spec.rb[1:1:1:2:1:1]                            | passed | 2.15 seconds    |
./spec/system/coupon_code_spec.rb[1:1:2:1]                                | passed | 1.2 seconds     |
./spec/system/coupon_code_spec.rb[1:1:2:2]                                | passed | 1.43 seconds    |
./spec/system/coupon_code_spec.rb[1:1:2:3]                                | passed | 1.31 seconds    |
./spec/system/coupon_code_spec.rb[1:1:2:4:1]                              | passed | 1.24 seconds    |
./spec/system/coupon_code_spec.rb[1:1:2:5]                                | passed | 1.17 seconds    |
./spec/system/coupon_code_spec.rb[1:1:2:6:1]                              | passed | 1.95 seconds    |
./spec/system/coupon_code_spec.rb[1:1:2:7:1]                              | passed | 1.87 seconds    |
./spec/system/currency_spec.rb[1:1]                                       | passed | 0.24136 seconds |
./spec/system/first_order_promotion_spec.rb[1:1]                          | passed | 0.36987 seconds |
./spec/system/first_order_promotion_spec.rb[1:2]                          | passed | 2.39 seconds    |
./spec/system/free_shipping_promotions_spec.rb[1:1:1]                     | passed | 2.67 seconds    |
./spec/system/locale_spec.rb[1:1:1]                                       | passed | 0.10982 seconds |
./spec/system/order_spec.rb[1:1]                                          | passed | 0.24433 seconds |
./spec/system/order_spec.rb[1:2]                                          | passed | 0.30347 seconds |
./spec/system/order_spec.rb[1:3]                                          | passed | 0.4702 seconds  |
./spec/system/order_spec.rb[1:4]                                          | passed | 0.4294 seconds  |
./spec/system/order_spec.rb[1:5]                                          | passed | 0.27259 seconds |
./spec/system/products_spec.rb[1:1]                                       | passed | 0.84627 seconds |
./spec/system/products_spec.rb[1:2:1]                                     | passed | 0.81735 seconds |
./spec/system/products_spec.rb[1:2:2]                                     | passed | 0.80614 seconds |
./spec/system/products_spec.rb[1:3:1]                                     | passed | 0.6933 seconds  |
./spec/system/products_spec.rb[1:3:2]                                     | passed | 0.70413 seconds |
./spec/system/products_spec.rb[1:3:3]                                     | passed | 0.8055 seconds  |
./spec/system/products_spec.rb[1:3:4]                                     | passed | 0.76254 seconds |
./spec/system/products_spec.rb[1:3:5]                                     | passed | 0.77111 seconds |
./spec/system/products_spec.rb[1:4:1]                                     | passed | 0.85757 seconds |
./spec/system/products_spec.rb[1:5:1:1]                                   | passed | 0.80341 seconds |
./spec/system/products_spec.rb[1:5:1:2]                                   | passed | 0.79314 seconds |
./spec/system/products_spec.rb[1:5:1:3]                                   | passed | 2.05 seconds    |
./spec/system/products_spec.rb[1:6]                                       | passed | 0.83816 seconds |
./spec/system/products_spec.rb[1:7:1]                                     | passed | 1.63 seconds    |
./spec/system/products_spec.rb[1:7:2]                                     | passed | 0.88281 seconds |
./spec/system/products_spec.rb[1:8:1]                                     | passed | 1.08 seconds    |
./spec/system/products_spec.rb[1:9]                                       | passed | 1.01 seconds    |
./spec/system/products_spec.rb[1:10]                                      | passed | 1.06 seconds    |
./spec/system/products_spec.rb[1:11]                                      | passed | 0.97265 seconds |
./spec/system/products_spec.rb[1:12]                                      | passed | 0.80675 seconds |
./spec/system/products_spec.rb[1:13]                                      | passed | 0.85958 seconds |
./spec/system/products_spec.rb[1:14]                                      | passed | 0.77714 seconds |
